,date,ccy,term,rate,direction,exit_rate,pnl,close_date,pnl_bps,cumulative_pnl_bps,monthly_return
0,2009-08-03,eur,1Y1Y,1.9984776585730828,-1,1.692414111559688,153031.77350669738,2009-09-01,30.606354701339477,30.606354701339477,30.606354701339477
1,2009-08-03,eur,1Y2Y,2.451554738433282,-1,2.134275981815548,158639.37830886687,2009-09-01,31.727875661773375,62.33423036311285,31.727875661773375
2,2009-08-03,eur,1Y3Y,2.7110241709790177,-1,2.4534130527268934,128805.55912606216,2009-09-01,25.76111182521243,88.09534218832528,25.76111182521243
3,2009-08-03,eur,7Y3Y,4.261668601893016,1,4.14332941859923,-59169.591646892615,2009-09-01,-11.833918329378523,76.26142385894676,-11.833918329378523
4,2009-08-03,eur,7Y2Y,4.206466233259312,1,4.081011597515992,-62727.31787165986,2009-09-01,-12.545463574331972,63.71596028461478,-12.545463574331972
5,2009-08-03,eur,7Y1Y,4.151015769861624,1,4.030692833474101,-60161.46819376189,2009-09-01,-12.032293638752378,51.6836666458624,-12.032293638752378
6,2009-09-01,eur,1Y1Y,1.784749809538703,-1,1.5757561046223456,104496.85245817876,2009-10-01,20.899370491635754,72.58303713749815,20.899370491635754
8,2009-09-01,eur,1Y3Y,2.5134210127054746,-1,2.344655362578707,84382.82506338379,2009-10-01,16.876565012676757,89.4596021501749,16.876565012676757
9,2009-09-01,eur,8Y1Y,4.141500402113882,1,4.147946498042261,3223.047964189263,2009-10-01,0.6446095928378526,90.10421174301275,0.6446095928378526
10,2009-09-01,eur,7Y2Y,4.089330778156487,1,4.093386596495964,2027.9091697386064,2009-10-01,0.4055818339477213,90.50979357696048,0.4055818339477213
11,2009-09-01,eur,7Y1Y,4.038989117611584,1,4.040748033703857,879.4580461368718,2009-10-01,0.17589160922737435,90.68568518618785,0.17589160922737435
7,2009-09-01,eur,1Y2Y,2.2016330359141536,-1,2.0298083907761284,85912.32256901261,2009-10-01,17.182464513802522,107.86814969999037,17.182464513802522
12,2009-10-01,eur,1Y1Y,1.650000425863721,-1,1.765364507421413,-57682.04077884597,2009-11-02,-11.536408155769195,96.33174154422117,-11.536408155769195
13,2009-10-01,eur,1Y2Y,2.093163679926595,-1,2.158725221600557,-32780.77083698094,2009-11-02,-6.556154167396188,89.77558737682499,-6.556154167396188
14,2009-10-01,eur,1Y3Y,2.400949122874368,-1,2.4143779877841256,-6714.432454879126,2009-11-02,-1.3428864909758254,88.43270088584916,-1.3428864909758254
15,2009-10-01,eur,7Y1Y,4.050517623367687,1,4.046909093063027,-1804.265152330231,2009-11-02,-0.3608530304660462,88.07184785538311,-0.3608530304660462
16,2009-10-01,eur,7Y2Y,4.103003215362123,1,4.093389805066034,-4806.70514804471,2009-11-02,-0.961341029608942,87.11050682577417,-0.961341029608942
17,2009-10-01,eur,8Y1Y,4.15736132267445,1,4.141833466142447,-7763.928266001585,2009-11-02,-1.552785653200317,85.55772117257385,-1.552785653200317
23,2009-11-02,eur,8Y1Y,4.149438276651396,1,4.007658295445039,-70889.99060317836,2009-12-01,-14.177998120635673,71.37972305193817,-14.177998120635673
22,2009-11-02,eur,7Y2Y,4.102236628499955,1,3.96254914845533,-69843.74002231241,2009-12-01,-13.968748004462483,57.41097504747569,-13.968748004462483
21,2009-11-02,eur,8Y2Y,4.211299172689577,1,4.088724908558223,-61287.13206567715,2009-12-01,-12.25742641313543,45.153548634340254,-12.25742641313543
19,2009-11-02,eur,1Y2Y,2.215519683030328,-1,1.9324772834584905,141521.1997859187,2009-12-01,28.30423995718374,73.457788591524,28.30423995718374
18,2009-11-02,eur,1Y1Y,1.8407293802300635,-1,1.5664548790080377,137137.2506110129,2009-12-01,27.42745012220258,100.88523871372658,27.42745012220258
20,2009-11-02,eur,1Y3Y,2.462676242295073,-1,2.19223308294612,135221.5796744767,2009-12-01,27.04431593489534,127.92955464862192,27.04431593489534
29,2009-12-01,eur,8Y1Y,4.014723321599316,1,4.267550843985585,126413.76119313463,2010-01-04,25.282752238626927,153.21230688724884,25.282752238626927
24,2009-12-01,eur,1Y1Y,1.6350698118538178,-1,1.7937764297144314,-79353.3089303068,2010-01-04,-15.87066178606136,137.34164510118748,-15.87066178606136
25,2009-12-01,eur,1Y2Y,1.9857689460369528,-1,2.158229287342737,-86230.17065289218,2010-01-04,-17.246034130578437,120.09561097060904,-17.246034130578437
26,2009-12-01,eur,1Y3Y,2.240098774575758,-1,2.421196775880845,-90549.0006525438,2010-01-04,-18.10980013050876,101.98581084010029,-18.10980013050876
27,2009-12-01,eur,8Y2Y,4.099600938980961,1,4.337469039772401,118934.05039571993,2010-01-04,23.786810079143986,125.77262091924428,23.786810079143986
28,2009-12-01,eur,7Y2Y,3.971983466536496,1,4.2157925234048825,121904.5284341933,2010-01-04,24.38090568683866,150.15352660608295,24.38090568683866
32,2010-01-04,eur,1Y3Y,2.466823551114258,-1,2.1627069074552745,152058.32182949176,2010-02-01,30.411664365898353,180.5651909719813,30.411664365898353
30,2010-01-04,eur,1Y1Y,1.8557401743664264,-1,1.4876887146542288,184025.7298560989,2010-02-01,36.80514597121978,217.3703369432011,36.80514597121978
31,2010-01-04,eur,1Y2Y,2.2082133431779623,-1,1.8661392567687023,171037.04320463,2010-02-01,34.207408640926,251.5777455841271,34.207408640926
33,2010-01-04,eur,7Y2Y,4.226467969966621,1,4.07136091126779,-77553.52934941539,2010-02-01,-15.510705869883077,236.067039714244,-15.510705869883077
