date,ccy,term,rate,direction,pnl,close_date
03/08/2009,eur,1Y1Y,1.998477659,-1,153031.7735,01/09/2009
03/08/2009,eur,1Y2Y,2.451554738,-1,158639.3783,01/09/2009
03/08/2009,eur,1Y3Y,2.711024171,-1,128805.5591,01/09/2009
03/08/2009,eur,7Y3Y,4.261668602,1,-59169.59165,01/09/2009
03/08/2009,eur,7Y2Y,4.206466233,1,-62727.31787,01/09/2009
03/08/2009,eur,7Y1Y,4.15101577,1,-60161.46819,01/09/2009
03/08/2009,gbp,1Y1Y,2.760333582,-1,259279.3332,01/09/2009
03/08/2009,gbp,1Y2Y,3.480401893,-1,273107.4905,01/09/2009
03/08/2009,gbp,1Y3Y,3.826100573,-1,260154.5884,01/09/2009
03/08/2009,gbp,5Y2Y,4.680956326,1,-158716.5676,01/09/2009
03/08/2009,gbp,6Y2Y,4.671491884,1,-121363.1545,01/09/2009
03/08/2009,gbp,6Y1Y,4.659134134,1,-132249.8026,01/09/2009
03/08/2009,usd,1Y1Y,2.046317916,-1,214195.3661,01/09/2009
03/08/2009,usd,1Y2Y,2.674422678,-1,222745.2837,01/09/2009
03/08/2009,usd,1Y3Y,3.097754502,-1,229414.8684,01/09/2009
03/08/2009,usd,7Y3Y,4.788049172,1,-131785.7975,01/09/2009
03/08/2009,usd,9Y1Y,4.802077614,1,-81300.71159,01/09/2009
03/08/2009,usd,7Y1Y,4.746359576,1,-154314.314,01/09/2009
01/09/2009,eur,1Y1Y,1.78474981,-1,104496.8525,01/10/2009
01/09/2009,eur,1Y2Y,2.201633036,-1,85912.32257,01/10/2009
01/09/2009,eur,1Y3Y,2.513421013,-1,84382.82506,01/10/2009
01/09/2009,eur,8Y1Y,4.141500402,1,3223.047964,01/10/2009
01/09/2009,eur,7Y2Y,4.089330778,1,2027.90917,01/10/2009
01/09/2009,eur,7Y1Y,4.038989118,1,879.4580461,01/10/2009
01/09/2009,gbp,1Y1Y,2.357662909,-1,130393.3133,01/10/2009
01/09/2009,gbp,1Y2Y,3.029186546,-1,132850.5908,01/10/2009
01/09/2009,gbp,1Y3Y,3.381212692,-1,113721.1751,01/10/2009
01/09/2009,gbp,7Y3Y,4.524126277,1,-36371.27269,01/10/2009
01/09/2009,gbp,8Y2Y,4.552815975,1,-37420.86431,01/10/2009
01/09/2009,gbp,9Y1Y,4.557660559,1,-35089.05176,01/10/2009
01/09/2009,usd,1Y1Y,1.720447286,-1,85749.38708,01/10/2009
01/09/2009,usd,1Y2Y,2.312946053,-1,104319.6626,01/10/2009
01/09/2009,usd,1Y3Y,2.712872166,-1,111247.0615,01/10/2009
01/09/2009,usd,7Y3Y,4.528931609,1,-216740.8987,01/10/2009
01/09/2009,usd,7Y2Y,4.47249272,1,-217412.4542,01/10/2009
01/09/2009,usd,7Y1Y,4.433982222,1,-218447.3279,01/10/2009
01/10/2009,eur,1Y1Y,1.650000426,-1,-57682.04078,02/11/2009
01/10/2009,eur,1Y2Y,2.09316368,-1,-32780.77084,02/11/2009
01/10/2009,eur,1Y3Y,2.400949123,-1,-6714.432455,02/11/2009
01/10/2009,eur,7Y1Y,4.050517623,1,-1804.265152,02/11/2009
01/10/2009,eur,7Y2Y,4.103003215,1,-4806.705148,02/11/2009
01/10/2009,eur,8Y1Y,4.157361323,1,-7763.928266,02/11/2009
01/10/2009,gbp,1Y1Y,2.220386666,-1,-9074.079675,02/11/2009
01/10/2009,gbp,1Y2Y,2.863594266,-1,-4545.408844,02/11/2009
01/10/2009,gbp,1Y3Y,3.234871878,-1,-2120.561121,02/11/2009
01/10/2009,gbp,7Y3Y,4.454844513,1,37454.59167,02/11/2009
01/10/2009,gbp,7Y1Y,4.40401233,1,36906.83845,02/11/2009
01/10/2009,gbp,9Y1Y,4.488652671,1,57348.17538,02/11/2009
01/10/2009,usd,1Y1Y,1.641686597,-1,11754.41025,02/11/2009
01/10/2009,usd,1Y2Y,2.18431304,-1,-9351.760072,02/11/2009
01/10/2009,usd,1Y3Y,2.560985634,-1,-27832.82711,02/11/2009
01/10/2009,usd,6Y2Y,4.02998665,1,239386.385,02/11/2009
01/10/2009,usd,7Y2Y,4.038795418,1,258580.0081,02/11/2009
01/10/2009,usd,7Y1Y,3.990871629,1,294439.4444,02/11/2009
02/11/2009,eur,1Y1Y,1.84072938,-1,137137.2506,01/12/2009
02/11/2009,eur,1Y2Y,2.215519683,-1,141521.1998,01/12/2009
02/11/2009,eur,1Y3Y,2.462676242,-1,135221.5797,01/12/2009
02/11/2009,eur,8Y2Y,4.211299173,1,-61287.13207,01/12/2009
02/11/2009,eur,7Y2Y,4.102236628,1,-69843.74002,01/12/2009
02/11/2009,eur,8Y1Y,4.149438277,1,-70889.9906,01/12/2009
02/11/2009,gbp,1Y1Y,2.356464396,-1,258278.5167,01/12/2009
02/11/2009,gbp,1Y2Y,2.965212314,-1,252190.687,01/12/2009
02/11/2009,gbp,1Y3Y,3.313695089,-1,239874.5487,01/12/2009
02/11/2009,gbp,7Y2Y,4.501275094,1,-71814.62869,01/12/2009
02/11/2009,gbp,8Y2Y,4.562408259,1,-60305.86461,01/12/2009
02/11/2009,gbp,8Y1Y,4.515605009,1,-53482.73126,01/12/2009
02/11/2009,usd,1Y1Y,1.716102464,-1,234386.8976,01/12/2009
02/11/2009,usd,1Y2Y,2.283801848,-1,242872.8796,01/12/2009
02/11/2009,usd,1Y3Y,2.688851893,-1,226244.2184,01/12/2009
02/11/2009,usd,7Y2Y,4.558914559,1,-57031.71743,01/12/2009
02/11/2009,usd,8Y2Y,4.592214777,1,-20806.99226,01/12/2009
02/11/2009,usd,8Y1Y,4.525734315,1,-24833.21029,01/12/2009
