date,term,rate,direction,pnl,close_date,pnl
01/08/2008,3Y1Y,4.50656632,-1,240814.5935,01/09/2008," 240,814.59 "
01/08/2008,1Y1Y,4.273644575,-1,180902.5323,01/09/2008," 421,717.13 "
01/08/2008,8Y1Y,4.673740077,-1,109285.3459,01/09/2008," 531,002.47 "
01/08/2008,4Y2Y,4.392526208,1,-128468.5617,01/09/2008," 402,533.91 "
01/08/2008,2Y1Y,4.255694019,1,-148052.013,01/09/2008," 254,481.90 "
01/08/2008,4Y1Y,4.378273115,1,-137529.538,01/09/2008," 116,952.36 "
01/09/2008,8Y1Y,4.467480658,-1,54728.51972,01/10/2008," 171,680.88 "
01/09/2008,8Y2Y,4.514005137,-1,52730.30972,01/10/2008," 224,411.19 "
01/09/2008,7Y2Y,4.39099845,-1,38028.23904,01/10/2008," 262,439.43 "
01/09/2008,1Y3Y,3.968471511,1,-36480.04054,01/10/2008," 225,959.39 "
01/09/2008,1Y2Y,3.93931884,1,-102693.2302,01/10/2008," 123,266.16 "
01/09/2008,1Y1Y,3.911320521,1,-193005.5491,01/10/2008,"-69,739.39 "
01/10/2008,1Y1Y,3.562727285,-1,392654.9383,03/11/2008," 322,915.55 "
01/10/2008,3Y1Y,4.268211653,-1,199076.0891,03/11/2008," 521,991.63 "
01/10/2008,1Y3Y,3.921328709,-1,260621.2113,03/11/2008," 782,612.85 "
01/10/2008,5Y3Y,4.285797228,1,127387.5017,03/11/2008," 910,000.35 "
01/10/2008,5Y2Y,4.291815009,1,75886.7261,03/11/2008," 985,887.07 "
01/10/2008,5Y1Y,4.295412461,1,18204.43506,03/11/2008," 1,004,091.51 "
03/11/2008,1Y1Y,2.847797972,-1,356999.594,01/12/2008," 1,361,091.10 "
03/11/2008,1Y2Y,3.231733247,-1,327898.6794,01/12/2008," 1,688,989.78 "
03/11/2008,1Y3Y,3.444477366,-1,387371.0931,01/12/2008," 2,076,360.88 "
03/11/2008,9Y1Y,4.940566953,1,-249972.7959,01/12/2008," 1,826,388.08 "
03/11/2008,8Y2Y,4.890475288,1,-268846.3012,01/12/2008," 1,557,541.78 "
03/11/2008,8Y1Y,4.842511333,1,-287121.4633,01/12/2008," 1,270,420.32 "
01/12/2008,1Y1Y,2.20363143,-1,48106.8852,02/01/2009," 1,318,527.20 "
01/12/2008,1Y2Y,2.637189907,-1,65752.8031,02/01/2009," 1,384,280.00 "
01/12/2008,4Y1Y,3.481951609,-1,-23687.99679,02/01/2009," 1,360,592.01 "
01/12/2008,6Y2Y,3.905216787,1,123658.0607,02/01/2009," 1,484,250.07 "
01/12/2008,6Y1Y,3.791103316,1,129140.2979,02/01/2009," 1,613,390.37 "
01/12/2008,3Y1Y,2.84393689,1,195260.8613,02/01/2009," 1,808,651.23 "
02/01/2009,2Y1Y,2.957387326,-1,151616.7819,02/02/2009," 1,960,268.01 "
02/01/2009,1Y2Y,2.547559789,-1,156373.9365,02/02/2009," 2,116,641.94 "
02/01/2009,1Y1Y,2.148863449,-1,161199.5767,02/02/2009," 2,277,841.52 "
02/01/2009,8Y1Y,4.37117187,1,28867.30456,02/02/2009," 2,306,708.83 "
02/01/2009,8Y2Y,4.414025066,1,42817.32938,02/02/2009," 2,349,526.16 "
02/01/2009,9Y1Y,4.458813741,1,57238.40107,02/02/2009," 2,406,764.56 "
02/02/2009,1Y1Y,1.899290583,-1,251856.0911,02/03/2009," 2,658,620.65 "
02/02/2009,1Y2Y,2.290061512,-1,209138.3065,02/03/2009," 2,867,758.95 "
02/02/2009,1Y3Y,2.551930372,-1,184981.7466,02/03/2009," 3,052,740.70 "
02/02/2009,6Y2Y,4.113021487,1,-174716.9086,02/03/2009," 2,878,023.79 "
02/02/2009,7Y1Y,4.183266711,1,-160870.8053,02/03/2009," 2,717,152.99 "
02/02/2009,9Y1Y,4.583488403,1,-176882.6725,02/03/2009," 2,540,270.31 "
02/03/2009,1Y1Y,1.462319778,-1,77498.94655,01/04/2009," 2,617,769.26 "
02/03/2009,1Y2Y,1.934708568,-1,50858.86355,01/04/2009," 2,668,628.12 "
02/03/2009,2Y1Y,2.417466619,-1,24542.50263,01/04/2009," 2,693,170.63 "
02/03/2009,7Y3Y,4.064664858,1,10088.3107,01/04/2009," 2,703,258.94 "
02/03/2009,8Y2Y,4.163809947,1,1533.95144,01/04/2009," 2,704,792.89 "
02/03/2009,9Y1Y,4.242797249,1,1822.556028,01/04/2009," 2,706,615.45 "
01/04/2009,2Y1Y,2.43458003,-1,-3689.536337,04/05/2009," 2,702,925.91 "
01/04/2009,1Y2Y,1.896762085,-1,-33876.09643,04/05/2009," 2,669,049.81 "
01/04/2009,1Y1Y,1.369027948,-1,-64202.02345,04/05/2009," 2,604,847.79 "
01/04/2009,7Y3Y,4.097577615,1,47684.44133,04/05/2009," 2,652,532.23 "
01/04/2009,7Y2Y,4.022514168,1,63372.81123,04/05/2009," 2,715,905.04 "
01/04/2009,7Y1Y,3.945011904,1,77234.07574,04/05/2009," 2,793,139.12 "
04/05/2009,1Y1Y,1.562253719,-1,1560.821002,01/06/2009," 2,794,699.94 "
04/05/2009,1Y2Y,2.025854295,-1,-62925.22573,01/06/2009," 2,731,774.71 "
04/05/2009,1Y3Y,2.385707571,-1,-82278.1952,01/06/2009," 2,649,496.52 "
04/05/2009,8Y1Y,4.209452979,1,225979.6923,01/06/2009," 2,875,476.21 "
04/05/2009,8Y2Y,4.250226026,1,218182.493,01/06/2009," 3,093,658.70 "
04/05/2009,9Y1Y,4.292541682,1,210143.6266,01/06/2009," 3,303,802.33 "
01/06/2009,1Y1Y,1.649376436,-1,-31324.59503,01/07/2009," 3,272,477.73 "
01/06/2009,1Y2Y,2.231497256,-1,5775.217103,01/07/2009," 3,278,252.95 "
01/06/2009,1Y3Y,2.620025583,-1,9846.689731,01/07/2009," 3,288,099.64 "
01/06/2009,7Y3Y,4.649355639,1,-130334.6817,01/07/2009," 3,157,764.96 "
01/06/2009,8Y2Y,4.692700895,1,-123707.9246,01/07/2009," 3,034,057.03 "
01/06/2009,9Y1Y,4.716610993,1,-97433.29443,01/07/2009," 2,936,623.74 "
01/07/2009,1Y1Y,1.800667876,-1,-50592.23519,03/08/2009," 2,886,031.51 "
01/07/2009,1Y2Y,2.289753514,-1,-44880.61092,03/08/2009," 2,841,150.89 "
01/07/2009,1Y3Y,2.665899365,-1,6347.351303,03/08/2009," 2,847,498.25 "
01/07/2009,7Y1Y,4.293843493,1,-75697.74258,03/08/2009," 2,771,800.50 "
01/07/2009,7Y2Y,4.335222187,1,-68920.03442,03/08/2009," 2,702,880.47 "
