date,term,rate,direction,pnl,close_date
2008-08-01,3Y1Y,4.50656632022377,-1,240814.59349428248,2008-09-01
2008-08-01,1Y1Y,4.273644575046422,-1,180902.5322508715,2008-09-01
2008-08-01,8Y1Y,4.67374007666977,-1,109285.34590666983,2008-09-01
2008-08-01,4Y2Y,4.39252620837635,1,-128468.56174985932,2008-09-01
2008-08-01,2Y1Y,4.255694018614306,1,-148052.01298900082,2008-09-01
2008-08-01,4Y1Y,4.378273114541748,1,-137529.5379700483,2008-09-01
2008-09-01,8Y1Y,4.467480657581342,-1,54728.51972299564,2008-10-01
2008-09-01,8Y2Y,4.51400513718356,-1,52730.3097242382,2008-10-01
2008-09-01,7Y2Y,4.390998449502096,-1,38028.23903959807,2008-10-01
2008-09-01,1Y3Y,3.968471510887216,1,-36480.04054428022,2008-10-01
2008-09-01,1Y2Y,3.939318839904353,1,-102693.23019261067,2008-10-01
2008-09-01,1Y1Y,3.911320520864692,1,-193005.54912206013,2008-10-01
2008-10-01,1Y1Y,3.562727285487572,-1,392654.938301614,2008-11-03
2008-10-01,3Y1Y,4.268211653038789,-1,199076.0890711818,2008-11-03
2008-10-01,1Y3Y,3.9213287090626996,-1,260621.21127805547,2008-11-03
2008-10-01,5Y3Y,4.285797228338261,1,127387.50166840163,2008-11-03
2008-10-01,5Y2Y,4.2918150089332014,1,75886.72609948332,2008-11-03
2008-10-01,5Y1Y,4.2954124606994375,1,18204.435063549074,2008-11-03
2008-11-03,1Y1Y,2.8477979717124424,-1,356999.5940417423,2008-12-01
2008-11-03,1Y2Y,3.2317332467574453,-1,327898.6794422756,2008-12-01
2008-11-03,1Y3Y,3.4444773660501813,-1,387371.09313907323,2008-12-01
2008-11-03,9Y1Y,4.94056695266711,1,-249972.7959478055,2008-12-01
2008-11-03,8Y2Y,4.890475287683493,1,-268846.30124538724,2008-12-01
2008-11-03,8Y1Y,4.8425113325688764,1,-287121.4633477215,2008-12-01
2008-12-01,1Y1Y,2.2036314302915327,-1,48106.88519959183,2009-01-02
2008-12-01,1Y2Y,2.6371899066142213,-1,65752.80310407483,2009-01-02
2008-12-01,4Y1Y,3.4819516092758516,-1,-23687.99678598843,2009-01-02
