point,t1,t2,aud,cad,nok,eur,gbp,jpy,nzd,sek,usd
1y1y,1,2,4.141387937010675,3.587182892520392,3.9784492968399414,2.819956874090897,4.037076698757408,0.48698940937754387,4.37663408855085,2.6018839741625794,4.035681552599048
1y2y,1,3,4.056928126453893,3.420369006357111,3.7894268251019056,2.7034172290858747,3.82081587803439,0.5630493946012254,4.181120125902967,2.4890600435927857,3.852212306993836
1y3y,1,4,4.033853004358969,3.3030387336008458,3.677890238500773,2.643183299894603,3.691299319753303,0.6241225354922385,4.090327894391571,2.4390174386937686,3.753999567413139
1y4y,1,5,4.056301476733102,3.244050601953727,3.611985788003231,2.6106608849461987,3.61327555813158,0.6820631482652636,4.061462448551593,2.4174054721652936,3.6974234306184837
1y5y,1,6,4.102146539869107,3.2509591633740493,3.5779003617586644,2.599061255102258,3.572150303169931,0.747712611538198,4.081490036819403,2.418262428486314,3.6629828018777957
1y6y,1,7,4.153451605499712,3.2804098887386335,3.5626858248097504,2.5981947125914613,3.556817501992144,0.821975824978638,4.115946943388233,2.4340675436809147,3.6705509490733865
1y7y,1,8,4.207906496814475,3.3173955933209314,3.556860383383291,2.604592113847274,3.559936862875472,0.8952748831334975,4.153222353641815,2.4541573142935027,3.6611270267293725
1y8y,1,9,4.253917809460217,3.3534139849247477,3.553593019513911,2.6151978537735716,3.5765078874674257,0.9632951159905216,4.19240695089759,2.4761797816042628,3.6632565240663792
1y9y,1,10,4.291417103550402,3.388480561874535,3.548868390156876,2.6288396483470917,3.5997900317467644,1.0302802777404028,4.2296538222195545,2.4976137201707336,3.66863225610711
1y10y,1,11,4.325504167066494,3.423123675608371,3.539624246146271,2.642878363319511,3.6246942977818932,1.0933481331703163,4.266876796399425,2.5158863372800275,3.6750182394014854
1y11y,1,12,4.356729929574539,3.4566073393630234,3.52600193973698,2.6556690587839378,3.6496654416788017,1.1520370452990891,4.304199614201549,2.5303543498158976,3.6826428141762992
1y12y,1,13,4.384288825041563,3.4878326180991883,3.508781512945019,2.6658752574972704,3.673769939816676,1.2071146798896824,4.34065004828819,2.540698276646222,3.6906204611482134
1y13y,1,14,4.407317703605839,3.5155554889754623,3.4885781878307953,2.6720733469777382,3.695933175123145,1.259321812958113,4.375122306316174,2.5464709300919655,3.6979419583408806
1y14y,1,15,4.424916363878921,3.5384388057479463,3.4659012730108407,2.6727835644680185,3.7149899782878686,1.3093816987410147,4.406424870274446,2.5471429617902883,3.7035185848633474
1y15y,1,16,4.436427165854787,3.555380363246232,3.4411809323056577,2.6669583145053015,3.730039567852333,1.3577488707656111,4.433657984972519,2.5423568358880377,3.7064031285272048
1y16y,1,17,4.442236355855791,3.5664138768045923,3.4147647964712884,2.655388811527403,3.7414282267416485,1.4038506787444842,4.457266977869813,2.5326168667941773,3.7063838815506416
1y17y,1,18,4.442965376083814,3.5718175674317814,3.3869583545988236,2.6392833246742873,3.7497734754175887,1.4468717481567468,4.477992348347086,2.5186107336938197,3.70340358945218
1y18y,1,19,4.439210516739641,3.571829532245004,3.3580429530236704,2.6198088946719436,3.7556519415147607,1.4860088524225707,4.4965333761602215,2.5009932952431466,3.6973746948491275
1y19y,1,20,4.431549558753305,3.566658234054456,3.328282185153942,2.59810239330207,3.759610135506037,1.5204677242256928,4.513558961011106,2.480395268065141,3.688187286748438
1y20y,1,21,4.420561483501428,3.5566355524259885,3.2979176062866684,2.5751586036449265,3.762095832144108,1.5497087586727887,4.529537844431101,2.457473022915619,3.6758586587501814
1y21y,1,22,4.406874677083697,3.5426565948115587,3.2671458005481373,2.551478804597993,3.7632363438690066,1.5741845580381866,4.544215192770851,2.4330433056945497,3.6609667087122357
1y22y,1,23,4.3911238846047755,3.525742834738372,3.2361471890277786,2.527436663013791,3.7630729176568005,1.5945878358281231,4.557153346547265,2.4079541527913673,3.6442171660823965
1y23y,1,24,4.3739370768384145,3.50690018601662,3.2050964536855373,2.5034001383125575,3.761639364595356,1.6116040310925863,4.567911113454593,2.3830437588206106,3.6263025645405724
1y24y,1,25,4.3559369370896075,3.4871223936702007,3.174163752868627,2.479732707986088,3.7589636056033764,1.6259128332042265,4.576044491874775,2.3591425716273333,3.6079050312855165
1y25y,1,26,4.337646467220213,3.4672277126668143,3.143476875987359,2.4567089073627417,3.7551050551725687,1.6381486025435166,4.581284776014457,2.3368748484054613,3.5895786419478743
1y26y,1,27,4.319204350883181,3.4473650389091457,3.113006057907428,2.434259809327814,3.7502637327456725,1.6487795353417833,4.58406955106797,2.3160620715343034,3.5713931322154955
1y27y,1,28,4.300653739615318,3.4275157422126923,3.082681437777778,2.4122311134116194,3.7446717158208562,1.658231345121313,4.585007173513514,2.2963273524328898,3.5532964779688627
1y28y,1,29,4.282038024866556,3.407660264115347,3.0524321524329996,2.3904687375550617,3.738557584425227,1.6669284394843065,4.584699946593523,2.2772956821415953,3.5352353292325778
