date,ccy,term,rate,direction,exit_rate,pnl,close_date
2020-08-03,eur,9Y1Y,-0.05335344019642973,-1,0.09144650262401324,-72399.9714102215,2020-09-01
2020-08-03,eur,7Y1Y,-0.2741190870806904,-1,-0.14664217436348642,-63738.45635860198,2020-09-01
2020-08-03,eur,7Y3Y,-0.1762414084466835,-1,-0.030841452030457343,-72699.97820811308,2020-09-01
2020-08-03,eur,2Y1Y,-0.6438431188240519,1,-0.6213841583614289,11229.480231311483,2020-09-01
2020-08-03,eur,2Y2Y,-0.6318979697262819,1,-0.597337265861208,17280.35193253691,2020-09-01
2020-08-03,eur,3Y1Y,-0.6201252790949348,1,-0.5735604052531608,23282.436920886998,2020-09-01
2020-09-01,eur,9Y1Y,0.10231150097940012,-1,-0.027808513234692894,65060.0071070465,2020-10-01
2020-09-01,eur,7Y1Y,-0.1362941685898565,-1,-0.2370289327476404,50367.382078891955,2020-10-01
2020-09-01,eur,7Y3Y,-0.02087324330017642,-1,-0.13034729168536396,54737.024192593766,2020-10-01
2020-09-01,eur,1Y3Y,-0.607870785570417,1,-0.6440997576759342,-18114.486052758617,2020-10-01
2020-09-01,eur,1Y2Y,-0.6273226161385468,1,-0.6606184777238857,-16647.930792669464,2020-10-01
2020-09-01,eur,1Y1Y,-0.635793723272022,1,-0.663758616748118,-13982.446738047993,2020-10-01
2020-10-01,eur,7Y1Y,-0.22729229541362628,-1,-0.2168403455831937,-5225.974915216286,2020-11-02
2020-10-01,eur,8Y1Y,-0.1160506526053145,-1,-0.11837904632697908,1164.1968608322936,2020-11-02
2020-10-01,eur,7Y2Y,-0.17199915284848988,-1,-0.16764739685720076,-2175.8779956445596,2020-11-02
2020-10-01,eur,1Y3Y,-0.6434880251968162,1,-0.6657649221632097,-11138.448483196727,2020-11-02
2020-10-01,eur,1Y2Y,-0.6617373650299578,1,-0.6823414561500429,-10302.04556004255,2020-11-02
2020-10-01,eur,1Y1Y,-0.6685367043035724,1,-0.686884003257318,-9173.649476872824,2020-11-02
2020-11-02,eur,7Y1Y,-0.2078081974854776,-1,-0.17543436578141955,-16186.915852029028,2020-12-01
2020-11-02,eur,6Y2Y,-0.26274312879113587,-1,-0.23085852324704895,-15942.302772043462,2020-12-01
2020-11-02,eur,4Y4Y,-0.3688371301921422,-1,-0.328893236041546,-19971.947075298092,2020-12-01
2020-11-02,eur,1Y3Y,-0.6644755833425786,1,-0.5939873135954153,35244.134873581635,2020-12-01
2020-11-02,eur,1Y2Y,-0.6822763630138793,1,-0.6181325730302611,32071.89499180907,2020-12-01
2020-11-02,eur,1Y1Y,-0.6897482351129667,1,-0.6269420813069654,31403.076903000652,2020-12-01
2020-12-01,eur,8Y1Y,-0.047548862236963065,-1,-0.1642898183524086,58370.47805772277,2021-01-04
2020-12-01,eur,7Y2Y,-0.10663897970164396,-1,-0.22194316949427212,57652.094896314076,2021-01-04
2020-12-01,eur,7Y1Y,-0.1659189667803333,-1,-0.2795352366041218,56808.13491189424,2021-01-04
2020-12-01,eur,1Y3Y,-0.5919858873943319,1,-0.6359858482761535,-21999.980440910782,2021-01-04
2020-12-01,eur,1Y2Y,-0.6179053805090244,1,-0.6503522236135801,-16223.42155227785,2021-01-04
2020-12-01,eur,1Y1Y,-0.6298658957461825,1,-0.6629434697451464,-16538.78699948197,2021-01-04
2021-01-04,eur,8Y1Y,-0.1543749044094472,-1,0.03323481379827118,-93804.8591038592,2021-02-01
2021-01-04,eur,8Y2Y,-0.09956118693772213,-1,0.08869140813814008,-94126.29753793112,2021-02-01
2021-01-04,eur,9Y1Y,-0.04507092149096414,-1,0.14392675138972982,-94498.83644034699,2021-02-01
2021-01-04,eur,1Y3Y,-0.6348579414134907,1,-0.5767512441413354,29053.34863607767,2021-02-01
2021-01-04,eur,1Y2Y,-0.6498307280679484,1,-0.606073725616335,21878.5012258067,2021-02-01
2021-01-04,eur,1Y1Y,-0.6667701590689625,1,-0.6297625813546529,18503.788857154814,2021-02-01
2021-02-01,eur,7Y1Y,-0.07486166287332803,-1,0.13184818981176571,-103354.92634254687,2021-03-01
2021-02-01,eur,7Y2Y,-0.016413048729917033,-1,0.1928719544794614,-104642.50160468921,2021-03-01
2021-02-01,eur,5Y4Y,-0.13336580572334913,-1,0.05616187260486413,-94763.83916410663,2021-03-01
2021-02-01,eur,1Y3Y,-0.5740737272680527,1,-0.5259083943384087,24082.66646482199,2021-03-01
2021-02-01,eur,1Y2Y,-0.6044673781788401,1,-0.5680858487335884,18190.764722625874,2021-03-01
2021-02-01,eur,1Y1Y,-0.6318782967230219,1,-0.6003392896621955,15769.503530413176,2021-03-01
2021-03-01,eur,5Y1Y,-0.13932848683371923,-1,-0.08379756089803889,-27765.462967840176,2021-04-01
2021-03-01,eur,4Y2Y,-0.21476245751809395,-1,-0.17428151760246977,-20240.46995781209,2021-04-01
2021-03-01,eur,5Y2Y,-0.06829918225590353,-1,-0.008539792258603972,-29879.69499864978,2021-04-01
2021-03-01,eur,1Y3Y,-0.5215227335575066,1,-0.5180089895837914,1756.8719868575888,2021-04-01
2021-03-01,eur,1Y2Y,-0.5655355370377485,1,-0.5683381730445514,-1401.3180034014306,2021-04-01
2021-03-01,eur,1Y1Y,-0.6019206875271823,1,-0.6022152974410625,-147.3049569400975,2021-04-01
2021-04-01,eur,7Y1Y,0.27141263919915665,-1,0.36364414771846,-46115.75425965167,2021-05-03
2021-04-01,eur,5Y1Y,-0.06871662286458564,-1,0.036566971708941146,-52641.797286763394,2021-05-03
2021-04-01,eur,5Y3Y,0.0933621525770487,-1,0.19735378539630546,-51995.81640962838,2021-05-03
2021-04-01,eur,1Y3Y,-0.5132028462185237,1,-0.4532517744365041,29975.535891009822,2021-05-03
2021-04-01,eur,1Y2Y,-0.5660574715452431,1,-0.5187540708931078,23651.700326067672,2021-05-03
2021-04-01,eur,1Y1Y,-0.6048614291046907,1,-0.58013897815672,12361.225473985327,2021-05-03
2021-05-03,eur,5Y1Y,0.05280539434167461,-1,0.008374083107709943,22215.655616982334,2021-06-01
2021-05-03,eur,4Y2Y,-0.04002524124490145,-1,-0.07990758321681324,19941.170985955894,2021-06-01
2021-05-03,eur,4Y1Y,-0.1332225044462549,-1,-0.16867154820017738,17724.521876961233,2021-06-01
2021-05-03,eur,1Y3Y,-0.4454174847012734,1,-0.44447349627154253,471.99421486543434,2021-06-01
2021-05-03,eur,1Y2Y,-0.5127041824816131,1,-0.5054510926989291,3626.5448913420096,2021-06-01
2021-05-03,eur,1Y1Y,-0.5789941333878494,1,-0.5585689744661704,10212.579460839532,2021-06-01
2021-06-01,eur,5Y1Y,0.023096694992815577,-1,-0.0026851011639114825,12890.89807836353,2021-07-01
2021-06-01,eur,5Y2Y,0.10540610410411454,-1,0.07192868260743013,16738.710748342204,2021-07-01
2021-06-01,eur,4Y2Y,-0.06593197985934307,-1,-0.0839561728714526,9012.096506054766,2021-07-01
2021-06-01,eur,1Y3Y,-0.43737960215300126,1,-0.4272351439177676,5072.229117616816,2021-07-01
2021-06-01,eur,1Y2Y,-0.5002754262364961,1,-0.485580684117062,7347.371059717056,2021-07-01
2021-06-01,eur,1Y1Y,-0.5570338665695459,1,-0.5440594810219916,6487.192773777128,2021-07-01
2021-07-01,eur,5Y1Y,0.011241925414201168,-1,-0.2746862454269928,142964.085420597,2021-08-02
2021-07-01,eur,4Y2Y,-0.07069033159439848,-1,-0.34204830873880276,135678.98857220216,2021-08-02
2021-07-01,eur,5Y2Y,0.08508980035123409,-1,-0.2132127392754102,149151.26981332217,2021-08-02
2021-07-01,eur,1Y3Y,-0.4200370529640721,1,-0.5511360169748346,-65549.48200538124,2021-08-02
2021-07-01,eur,1Y2Y,-0.47975466467093597,1,-0.576376858074935,-48311.096701999515,2021-08-02
2021-07-01,eur,1Y1Y,-0.5411308141271527,1,-0.5994902103504918,-29179.69811166954,2021-08-02
2021-08-02,eur,9Y1Y,0.28532179148762465,-1,0.366641829816976,-40660.01916467569,2021-09-01
2021-08-02,eur,7Y1Y,0.028366396750405504,-1,0.09771765614279194,-34675.629696193224,2021-09-01
2021-08-02,eur,6Y2Y,-0.056994132164828945,-1,0.025717548941861974,-41355.84055334546,2021-09-01
2021-08-02,eur,1Y3Y,-0.5481134463388116,1,-0.4989305271713965,24591.459583707565,2021-09-01
2021-08-02,eur,1Y2Y,-0.574020464527683,1,-0.537315419497651,18352.522515015957,2021-09-01
2021-08-02,eur,1Y1Y,-0.5999391846507719,1,-0.5706856036128634,14626.790518954269,2021-09-01
2021-09-01,eur,6Y1Y,-0.03364723073256516,-1,0.1759840898166415,-104815.66027460332,2021-10-01
2021-09-01,eur,6Y2Y,0.03794437702885879,-1,0.25193339121858976,-106994.5070948655,2021-10-01
2021-09-01,eur,6Y3Y,0.10602286572103597,-1,0.3196960494132796,-106836.59184612182,2021-10-01
2021-09-01,eur,1Y3Y,-0.4948883302652481,1,-0.4004842602223747,47202.035021436684,2021-10-01
2021-09-01,eur,1Y2Y,-0.5346381857089153,1,-0.47003450432085486,32301.84069403022,2021-10-01
2021-09-01,eur,1Y1Y,-0.5719999999987102,1,-0.5323615405590392,19819.22971983552,2021-10-01
2021-10-01,eur,7Y1Y,0.3422113300668007,-1,0.3246692677872046,8771.031139798046,2021-11-01
2021-10-01,eur,4Y1Y,-0.10149722966440045,-1,0.004535859247587118,-53016.54445599378,2021-11-01
2021-10-01,eur,6Y2Y,0.2645419278814496,-1,0.2669922202078273,-1225.1461631888617,2021-11-01
2021-10-01,eur,1Y3Y,-0.39190824358763415,1,-0.12636895954591928,132769.64202085746,2021-11-01
2021-10-01,eur,1Y2Y,-0.4634299536244999,1,-0.17151208903367388,145958.93229541302,2021-11-01
2021-10-01,eur,1Y1Y,-0.530585476991218,1,-0.23459051739938463,147997.4797959167,2021-11-01
2021-11-01,eur,1Y1Y,-0.20633806750061554,-1,-0.4160198151770814,104840.87383823293,2021-12-01
2021-11-01,eur,1Y2Y,-0.15699788844121418,-1,-0.3189567304763574,80979.42101757163,2021-12-01
2021-11-01,eur,1Y3Y,-0.1145868911284836,-1,-0.27267411699812083,79043.61293481862,2021-12-01
2021-11-01,eur,2Y3Y,-0.043537340560708876,1,-0.18698999980500372,-71726.32962214742,2021-12-01
2021-11-01,eur,4Y1Y,0.007942280869601907,1,-0.15835338054333195,-83147.83070646694,2021-12-01
2021-11-01,eur,2Y1Y,-0.10784644561801861,1,-0.22263943887655524,-57396.49662926832,2021-12-01
2021-12-01,eur,1Y1Y,-0.4023144650625323,-1,-0.26395979688210164,-69177.33409021534,2022-01-03
2021-12-01,eur,1Y2Y,-0.3061571133127698,-1,-0.15826079240832613,-73948.16045222183,2022-01-03
2021-12-01,eur,8Y1Y,0.31288735880018875,-1,0.5176279318606871,-102370.28653024918,2022-01-03
2021-12-01,eur,3Y1Y,-0.17694427523168677,1,0.00909785008778732,93021.06265973704,2022-01-03
2021-12-01,eur,3Y2Y,-0.16663586006283002,1,0.039338614422825734,102987.23724282788,2022-01-03
2021-12-01,eur,4Y1Y,-0.15662251804966046,1,0.06986456531878632,113243.54168422338,2022-01-03
2022-01-03,eur,1Y1Y,-0.24036199980948825,-1,-0.03456702701056528,-102897.48639946149,2022-02-01
2022-01-03,eur,1Y2Y,-0.14103081232953085,-1,0.1006882252397236,-120859.51878462723,2022-02-01
2022-01-03,eur,9Y1Y,0.6879329253459955,-1,0.6701621733408588,8885.376002568335,2022-02-01
2022-01-03,eur,3Y3Y,0.07115296091541475,1,0.2835423771246759,106194.70810463058,2022-02-01
2022-01-03,eur,3Y1Y,0.013814784009085297,1,0.27141596959214814,128800.59279153141,2022-02-01
2022-01-03,eur,5Y1Y,0.1255203852894273,1,0.30687291093529423,90676.26282293347,2022-02-01
2022-02-01,eur,1Y1Y,-0.0030047866799980667,-1,-0.060405338841311274,28700.276080656604,2022-03-01
2022-02-01,eur,1Y2Y,0.12143063357599763,-1,0.05827958211509081,31575.525730453413,2022-03-01
2022-02-01,eur,1Y3Y,0.17178633081704114,-1,0.15551443971785478,8135.9455495931825,2022-03-01
2022-02-01,eur,4Y2Y,0.2910699971306477,1,0.42561506483794653,67272.53385364942,2022-03-01
2022-02-01,eur,3Y2Y,0.2729658821056221,1,0.36674163586752173,46887.87688094981,2022-03-01
2022-02-01,eur,4Y1Y,0.27223306446402096,1,0.3812597868588244,54513.36119740172,2022-03-01
