date,ccy,term,rate,direction,pnl,close_date
2019-08-01,eur,7Y1Y,0.04723765863060117,-1,187236.36009927225,2019-09-02
2019-08-01,eur,4Y1Y,-0.4061346917257483,-1,166981.60057783485,2019-09-02
2019-08-01,eur,7Y2Y,0.11067237217505653,-1,190188.16156239447,2019-09-02
2019-08-01,eur,1Y3Y,-0.6581769663310675,1,-101669.56521268262,2019-09-02
2019-08-01,eur,1Y1Y,-0.7578256910758561,1,-63272.750298765,2019-09-02
2019-08-01,eur,3Y1Y,-0.5937110191255194,1,-119065.91413894013,2019-09-02
2019-09-02,eur,7Y1Y,-0.3142692893803384,-1,-78415.83916646178,2019-10-01
2019-09-02,eur,6Y2Y,-0.39296070380532816,-1,-81151.81649834965,2019-10-01
2019-09-02,eur,6Y1Y,-0.47190341444898415,-1,-83954.76719850393,2019-10-01
2019-09-02,eur,1Y3Y,-0.8613959769961481,1,78978.02190691172,2019-10-01
2019-09-02,eur,1Y2Y,-0.8779264827702937,1,75581.76876139,2019-10-01
2019-09-02,eur,1Y1Y,-0.8914498675511736,1,79931.90835675424,2019-10-01
2019-10-01,eur,7Y1Y,-0.14479327432881323,-1,-114144.05763787564,2019-11-01
2019-10-01,eur,7Y2Y,-0.07406922769993232,-1,-114772.8008678249,2019-11-01
2019-10-01,eur,5Y1Y,-0.41626267532900463,-1,-95900.66778772592,2019-11-01
2019-10-01,eur,1Y3Y,-0.7017712362543844,1,73864.05681553493,2019-11-01
2019-10-01,eur,1Y2Y,-0.7271380281032175,1,64726.78264088399,2019-11-01
2019-10-01,eur,1Y1Y,-0.7357466385150281,1,60142.65626510102,2019-11-01
2019-11-01,eur,7Y1Y,0.0967375775990347,-1,-39329.829424548654,2019-12-02
2019-11-01,eur,6Y2Y,0.01878068157829255,-1,-39758.503835383264,2019-12-02
2019-11-01,eur,6Y1Y,-0.05948859604773911,-1,-40411.96689302579,2019-12-02
2019-11-01,eur,2Y1Y,-0.5770911821928068,1,44799.38041184611,2019-12-02
2019-11-01,eur,1Y2Y,-0.5962897325413453,1,36357.06232898117,2019-12-02
2019-11-01,eur,1Y1Y,-0.6159292582553794,1,28045.173797237196,2019-12-02
2019-12-02,eur,7Y1Y,0.18854761401859668,-1,-23792.970197256098,2020-01-02
2019-12-02,eur,6Y2Y,0.11111154317961855,-1,-24056.46714741361,2020-01-02
2019-12-02,eur,4Y4Y,-0.035641011377062694,-1,-24753.947153075424,2020-01-02
2019-12-02,eur,1Y3Y,-0.47584671104718473,1,19370.679273689962,2020-01-02
2019-12-02,eur,1Y2Y,-0.5185616918730173,1,15418.61968393382,2020-01-02
2019-12-02,eur,1Y1Y,-0.5569941577328997,1,12074.507214969499,2020-01-02
2020-01-02,eur,7Y1Y,0.2496516202265386,-1,165700.7884446957,2020-02-03
2020-01-02,eur,5Y1Y,-0.0397429877001404,-1,142377.30432025235,2020-02-03
2020-01-02,eur,5Y3Y,0.10103496869255038,-1,153968.47901304901,2020-02-03
2020-01-02,eur,1Y3Y,-0.4295578451534564,1,-74808.73704124358,2020-02-03
2020-01-02,eur,1Y2Y,-0.48101644091193085,1,-61420.296923825284,2020-02-03
2020-01-02,eur,1Y1Y,-0.5277249955391295,1,-45946.23772488632,2020-02-03
2020-02-03,eur,5Y1Y,-0.3135001745170891,-1,91106.30686511846,2020-03-02
2020-02-03,eur,7Y1Y,-0.07099309241013525,-1,106839.1446424462,2020-03-02
2020-02-03,eur,7Y2Y,-0.00897516071387188,-1,112146.61001446888,2020-03-02
2020-02-03,eur,1Y3Y,-0.5769888721781906,1,-64613.006403413,2020-03-02
2020-02-03,eur,1Y2Y,-0.6029345007440002,1,-62800.30800300445,2020-03-02
2020-02-03,eur,1Y1Y,-0.6209142717848875,1,-65352.52380356083,2020-03-02
2020-03-02,eur,9Y1Y,-0.05808040252144822,-1,-59819.33892808272,2020-04-01
2020-03-02,eur,7Y1Y,-0.27519250418168795,-1,-85610.15546334004,2020-04-01
2020-03-02,eur,7Y3Y,-0.16861847139278272,-1,-79977.67057924977,2020-04-01
2020-03-02,eur,1Y3Y,-0.7039308379448834,1,77680.36529450212,2020-04-01
2020-03-02,eur,1Y2Y,-0.7268547222725036,1,70975.07373408423,2020-04-01
2020-03-02,eur,1Y1Y,-0.753747847967728,1,73730.79011599593,2020-04-01
2020-04-01,eur,8Y1Y,0.027918517797652993,-1,60129.77612457429,2020-05-04
2020-04-01,eur,5Y1Y,-0.274378982637425,-1,76614.092539263,2020-05-04
2020-04-01,eur,7Y2Y,-0.0346529499697652,-1,60269.96172817717,2020-05-04
2020-04-01,eur,2Y1Y,-0.560282216167219,1,-54702.87661694289,2020-05-04
2020-04-01,eur,1Y2Y,-0.5824708975908596,1,-46035.78830507393,2020-05-04
2020-04-01,eur,1Y1Y,-0.6049085660762961,1,-37260.79920991165,2020-05-04
2020-05-04,eur,8Y1Y,-0.08137312722178802,-1,-5488.195267335093,2020-06-01
2020-05-04,eur,6Y1Y,-0.2989276487352879,-1,-14419.188978212595,2020-06-01
2020-05-04,eur,6Y3Y,-0.19681930895855715,-1,-16428.101980428946,2020-06-01
2020-05-04,eur,2Y1Y,-0.6688161917046184,1,39238.468871212295,2020-06-01
2020-05-04,eur,1Y2Y,-0.6752479161101629,1,35597.17303832433,2020-06-01
2020-05-04,eur,1Y1Y,-0.6817235403709481,1,31936.544934470847,2020-06-01
2020-06-01,eur,7Y1Y,-0.14180415519484643,-1,23441.785612864212,2020-07-01
2020-06-01,eur,6Y2Y,-0.2018100698203747,-1,15944.628886595967,2020-07-01
2020-06-01,eur,5Y3Y,-0.2539793293899563,-1,14382.024719653245,2020-07-01
2020-06-01,eur,1Y3Y,-0.5763431432558705,1,-11634.94028267975,2020-07-01
2020-06-01,eur,1Y2Y,-0.6029260843789377,1,-12454.447823563363,2020-07-01
2020-06-01,eur,1Y1Y,-0.6188745192571389,1,-12855.683050297328,2020-07-01
2020-07-01,eur,8Y1Y,-0.05301944952650671,-1,77519.381052096,2020-08-03
2020-07-01,eur,8Y2Y,-0.0077412659235145155,-1,64513.06891090843,2020-08-03
2020-07-01,eur,7Y2Y,-0.11755648503138147,-1,64142.61162195942,2020-08-03
2020-07-01,eur,1Y3Y,-0.5969598845846111,1,-21959.50139869235,2020-08-03
2020-07-01,eur,1Y2Y,-0.6268268117277508,1,-11799.696284336691,2020-08-03
2020-07-01,eur,1Y1Y,-0.6467956925879114,1,-3787.152107120717,2020-08-03
2020-08-03,eur,9Y1Y,-0.05335344019642973,-1,-72399.9714102215,2020-09-01
2020-08-03,eur,7Y1Y,-0.2741190870806904,-1,-63738.45635860198,2020-09-01
2020-08-03,eur,7Y3Y,-0.1762414084466835,-1,-72699.97820811308,2020-09-01
2020-08-03,eur,2Y1Y,-0.6438431188240519,1,11229.480231311483,2020-09-01
2020-08-03,eur,2Y2Y,-0.6318979697262819,1,17280.35193253691,2020-09-01
2020-08-03,eur,3Y1Y,-0.6201252790949348,1,23282.436920886998,2020-09-01
2020-09-01,eur,9Y1Y,0.10231150097940012,-1,65060.0071070465,2020-10-01
2020-09-01,eur,7Y1Y,-0.1362941685898565,-1,50367.382078891955,2020-10-01
2020-09-01,eur,7Y3Y,-0.02087324330017642,-1,54737.024192593766,2020-10-01
2020-09-01,eur,1Y3Y,-0.607870785570417,1,-18114.486052758617,2020-10-01
2020-09-01,eur,1Y2Y,-0.6273226161385468,1,-16647.930792669464,2020-10-01
2020-09-01,eur,1Y1Y,-0.635793723272022,1,-13982.446738047993,2020-10-01
2020-10-01,eur,7Y1Y,-0.22729229541362628,-1,-5225.974915216286,2020-11-02
