date,ccy,term,rate,direction,pnl (5k dv01),close_date,PnL (bps of 50mio fund),,,EUR,Full_Sample,2009-end 2013,jan 14 - present
03/08/2009,eur,1Y1Y,1.998477659,-1,153031.7735,01/09/2009,30.6063547,,,payers,282.0,-410.9,693.0
03/08/2009,eur,1Y2Y,2.451554738,-1,158639.3783,01/09/2009,31.72787566,,,receivers,2427.6,1397.3,1030.3
03/08/2009,eur,1Y3Y,2.711024171,-1,128805.5591,01/09/2009,25.76111183,,,,,,
03/08/2009,eur,7Y3Y,4.261668602,1,"-59,169.59",01/09/2009,-11.83391833,,,,,,
03/08/2009,eur,7Y2Y,4.206466233,1,"-62,727.32",01/09/2009,-12.54546357,,,USD,Full_Sample,2009-end 2013,jan 14 - present
03/08/2009,eur,7Y1Y,4.15101577,1,"-60,161.47",01/09/2009,-12.03229364,,,payers,-112.5,-121.3,8.8
03/08/2009,gbp,1Y1Y,2.760333582,-1,259279.3332,01/09/2009,51.85586663,,,receivers,1444.3,1744.9,-300.6
03/08/2009,gbp,1Y2Y,3.480401893,-1,273107.4905,01/09/2009,54.6214981,,,,,,
03/08/2009,gbp,1Y3Y,3.826100573,-1,260154.5884,01/09/2009,52.03091769,,,,,,
03/08/2009,gbp,5Y2Y,4.680956326,1,-158716.5676,01/09/2009,-31.74331351,,,GBP,Full_Sample,2009-end 2013,jan 14 - present
03/08/2009,gbp,6Y2Y,4.671491884,1,-121363.1545,01/09/2009,-24.2726309,,,payers,-64.5,-402.9,338.4
03/08/2009,gbp,6Y1Y,4.659134134,1,-132249.8026,01/09/2009,-26.44996052,,,receivers,1342.7,1541.1,-198.4
03/08/2009,usd,1Y1Y,2.046317916,-1,214195.3661,01/09/2009,42.83907321,,,,,,
03/08/2009,usd,1Y2Y,2.674422678,-1,222745.2837,01/09/2009,44.54905674,,,,,,
03/08/2009,usd,1Y3Y,3.097754502,-1,229414.8684,01/09/2009,45.88297368,,,,,,
03/08/2009,usd,7Y3Y,4.788049172,1,"-131,785.80",01/09/2009,-26.3571595,,,,,,
03/08/2009,usd,9Y1Y,4.802077614,1,"-81,300.71",01/09/2009,-16.26014232,,,,,,
03/08/2009,usd,7Y1Y,4.746359576,1,"-154,314.31",01/09/2009,-30.86286279,,,,,,
01/09/2009,eur,1Y1Y,1.78474981,-1,104496.8525,01/10/2009,20.89937049,,,,,,
01/09/2009,eur,1Y2Y,2.201633036,-1,85912.32257,01/10/2009,17.18246451,,,,,,
01/09/2009,eur,1Y3Y,2.513421013,-1,84382.82506,01/10/2009,16.87656501,,,,,,
01/09/2009,eur,8Y1Y,4.141500402,1,"3,223.05",01/10/2009,0.644609593,,,,,,
01/09/2009,eur,7Y2Y,4.089330778,1,"2,027.91",01/10/2009,0.405581834,,,,,,
01/09/2009,eur,7Y1Y,4.038989118,1,879.46,01/10/2009,0.175891609,,,,,,
01/09/2009,gbp,1Y1Y,2.357662909,-1,130393.3133,01/10/2009,26.07866266,,,,,,
01/09/2009,gbp,1Y2Y,3.029186546,-1,132850.5908,01/10/2009,26.57011816,,,,,,
01/09/2009,gbp,1Y3Y,3.381212692,-1,113721.1751,01/10/2009,22.74423503,,,,,,
01/09/2009,gbp,7Y3Y,4.524126277,1,-36371.27269,01/10/2009,-7.274254539,,,,,,
01/09/2009,gbp,8Y2Y,4.552815975,1,-37420.86431,01/10/2009,-7.484172862,,,,,,
01/09/2009,gbp,9Y1Y,4.557660559,1,-35089.05176,01/10/2009,-7.017810351,,,,,,
01/09/2009,usd,1Y1Y,1.720447286,-1,85749.38708,01/10/2009,17.14987742,,,,,,
01/09/2009,usd,1Y2Y,2.312946053,-1,104319.6626,01/10/2009,20.86393252,,,,,,
01/09/2009,usd,1Y3Y,2.712872166,-1,111247.0615,01/10/2009,22.24941229,,,,,,
01/09/2009,usd,7Y3Y,4.528931609,1,"-216,740.90",01/10/2009,-43.34817973,,,,,,
01/09/2009,usd,7Y2Y,4.47249272,1,"-217,412.45",01/10/2009,-43.48249085,,,,,,
01/09/2009,usd,7Y1Y,4.433982222,1,"-218,447.33",01/10/2009,-43.68946559,,,,,,
01/10/2009,eur,1Y1Y,1.650000426,-1,-57682.04078,02/11/2009,-11.53640816,,,,,,
01/10/2009,eur,1Y2Y,2.09316368,-1,-32780.77084,02/11/2009,-6.556154167,,,,,,
01/10/2009,eur,1Y3Y,2.400949123,-1,-6714.432455,02/11/2009,-1.342886491,,,,,,
01/10/2009,eur,7Y1Y,4.050517623,1,"-1,804.27",02/11/2009,-0.36085303,,,,,,
01/10/2009,eur,7Y2Y,4.103003215,1,"-4,806.71",02/11/2009,-0.96134103,,,,,,
01/10/2009,eur,8Y1Y,4.157361323,1,"-7,763.93",02/11/2009,-1.552785653,,,,,,
01/10/2009,gbp,1Y1Y,2.220386666,-1,-9074.079675,02/11/2009,-1.814815935,,,,,,
01/10/2009,gbp,1Y2Y,2.863594266,-1,-4545.408844,02/11/2009,-0.909081769,,,,,,
01/10/2009,gbp,1Y3Y,3.234871878,-1,-2120.561121,02/11/2009,-0.424112224,,,,,,
01/10/2009,gbp,7Y3Y,4.454844513,1,37454.59167,02/11/2009,7.490918334,,,,,,
01/10/2009,gbp,7Y1Y,4.40401233,1,36906.83845,02/11/2009,7.38136769,,,,,,
01/10/2009,gbp,9Y1Y,4.488652671,1,57348.17538,02/11/2009,11.46963508,,,,,,
01/10/2009,usd,1Y1Y,1.641686597,-1,11754.41025,02/11/2009,2.35088205,,,,,,
01/10/2009,usd,1Y2Y,2.18431304,-1,-9351.760072,02/11/2009,-1.870352014,,,,,,
01/10/2009,usd,1Y3Y,2.560985634,-1,-27832.82711,02/11/2009,-5.566565423,,,,,,
01/10/2009,usd,6Y2Y,4.02998665,1,"239,386.38",02/11/2009,47.87727699,,,,,,
01/10/2009,usd,7Y2Y,4.038795418,1,"258,580.01",02/11/2009,51.71600162,,,,,,
01/10/2009,usd,7Y1Y,3.990871629,1,"294,439.44",02/11/2009,58.88788888,,,,,,
02/11/2009,eur,1Y1Y,1.84072938,-1,137137.2506,01/12/2009,27.42745012,,,,,,
02/11/2009,eur,1Y2Y,2.215519683,-1,141521.1998,01/12/2009,28.30423996,,,,,,
02/11/2009,eur,1Y3Y,2.462676242,-1,135221.5797,01/12/2009,27.04431593,,,,,,
02/11/2009,eur,8Y2Y,4.211299173,1,"-61,287.13",01/12/2009,-12.25742641,,,,,,
02/11/2009,eur,7Y2Y,4.102236628,1,"-69,843.74",01/12/2009,-13.968748,,,,,,
02/11/2009,eur,8Y1Y,4.149438277,1,"-70,889.99",01/12/2009,-14.17799812,,,,,,
02/11/2009,gbp,1Y1Y,2.356464396,-1,258278.5167,01/12/2009,51.65570334,,,,,,
02/11/2009,gbp,1Y2Y,2.965212314,-1,252190.687,01/12/2009,50.4381374,,,,,,
02/11/2009,gbp,1Y3Y,3.313695089,-1,239874.5487,01/12/2009,47.97490973,,,,,,
02/11/2009,gbp,7Y2Y,4.501275094,1,-71814.62869,01/12/2009,-14.36292574,,,,,,
02/11/2009,gbp,8Y2Y,4.562408259,1,-60305.86461,01/12/2009,-12.06117292,,,,,,
02/11/2009,gbp,8Y1Y,4.515605009,1,-53482.73126,01/12/2009,-10.69654625,,,,,,
02/11/2009,usd,1Y1Y,1.716102464,-1,234386.8976,01/12/2009,46.87737952,,,,,,
02/11/2009,usd,1Y2Y,2.283801848,-1,242872.8796,01/12/2009,48.57457592,,,,,,
02/11/2009,usd,1Y3Y,2.688851893,-1,226244.2184,01/12/2009,45.24884368,,,,,,
02/11/2009,usd,7Y2Y,4.558914559,1,"-57,031.72",01/12/2009,-11.40634349,,,,,,
02/11/2009,usd,8Y2Y,4.592214777,1,"-20,806.99",01/12/2009,-4.161398453,,,,,,
02/11/2009,usd,8Y1Y,4.525734315,1,"-24,833.21",01/12/2009,-4.966642059,,,,,,
01/12/2009,eur,1Y1Y,1.635069812,-1,-79353.30893,04/01/2010,-15.87066179,,,,,,
01/12/2009,eur,1Y2Y,1.985768946,-1,-86230.17065,04/01/2010,-17.24603413,,,,,,
01/12/2009,eur,1Y3Y,2.240098775,-1,-90549.00065,04/01/2010,-18.10980013,,,,,,
01/12/2009,eur,8Y2Y,4.099600939,1,"118,934.05",04/01/2010,23.78681008,,,,,,
01/12/2009,eur,7Y2Y,3.971983467,1,"121,904.53",04/01/2010,24.38090569,,,,,,
01/12/2009,eur,8Y1Y,4.014723322,1,"126,413.76",04/01/2010,25.28275224,,,,,,
01/12/2009,gbp,1Y1Y,1.951111469,-1,-127541.8414,04/01/2010,-25.50836827,,,,,,
01/12/2009,gbp,1Y2Y,2.550734747,-1,-134754.2785,04/01/2010,-26.9508557,,,,,,
01/12/2009,gbp,1Y3Y,2.908624766,-1,-148340.648,04/01/2010,-29.6681296,,,,,,
01/12/2009,gbp,7Y3Y,4.40236636,1,180424.8453,04/01/2010,36.08496906,,,,,,
01/12/2009,gbp,7Y1Y,4.314958824,1,187621.4794,04/01/2010,37.52429588,,,,,,
01/12/2009,gbp,9Y1Y,4.483095286,1,173293.5025,04/01/2010,34.65870049,,,,,,
01/12/2009,usd,1Y1Y,1.336925472,-1,-203962.2669,04/01/2010,-40.79245338,,,,,,
01/12/2009,usd,1Y2Y,1.874266623,-1,-250203.497,04/01/2010,-50.0406994,,,,,,
01/12/2009,usd,1Y3Y,2.309962464,-1,-268483.6187,04/01/2010,-53.69672375,,,,,,
01/12/2009,usd,7Y1Y,4.424015061,1,"306,573.81",04/01/2010,61.31476165,,,,,,
01/12/2009,usd,7Y2Y,4.451863531,1,"282,393.05",04/01/2010,56.47860972,,,,,,
01/12/2009,usd,8Y1Y,4.480822262,1,"257,137.78",04/01/2010,51.42755578,,,,,,
04/01/2010,eur,1Y1Y,1.855740174,-1,184025.7299,01/02/2010,36.80514597,,,,,,
04/01/2010,eur,1Y2Y,2.208213343,-1,171037.0432,01/02/2010,34.20740864,,,,,,
04/01/2010,eur,1Y3Y,2.466823551,-1,152058.3218,01/02/2010,30.41166437,,,,,,
04/01/2010,eur,7Y2Y,4.22646797,1,"-77,553.53",01/02/2010,-15.51070587,,,,,,
04/01/2010,eur,8Y2Y,4.347704807,1,"-83,122.13",01/02/2010,-16.62442658,,,,,,
04/01/2010,eur,8Y1Y,4.275750798,1,"-76,039.96",01/02/2010,-15.20799145,,,,,,
04/01/2010,gbp,1Y1Y,2.325229802,-1,234512.5222,01/02/2010,46.90250445,,,,,,
04/01/2010,gbp,1Y2Y,2.913838132,-1,219468.5902,01/02/2010,43.89371803,,,,,,
04/01/2010,gbp,1Y3Y,3.283335209,-1,192685.3735,01/02/2010,38.5370747,,,,,,
04/01/2010,gbp,7Y3Y,4.769668392,1,-36763.73918,01/02/2010,-7.352747836,,,,,,
04/01/2010,gbp,8Y2Y,4.808038463,1,-36997.54306,01/02/2010,-7.399508611,,,,,,
04/01/2010,gbp,9Y1Y,4.833912263,1,-40757.43625,01/02/2010,-8.151487251,,,,,,
