,name,rate,rolled_rate,term
0,eur 1Y,3.4250000000718632,1Y,
1,eur 2Y,3.104000000148178,2Y,
2,eur 3Y,2.9140000002259985,3Y,
3,eur 4Y,2.7920000003118606,4Y,
4,eur 5Y,2.7200000004036786,5Y,
5,eur 6Y,2.6820000005078555,6Y,
6,eur 7Y,2.66400000060984,7Y,
7,eur 8Y,2.658000000737582,8Y,
8,eur 9Y,2.6630000008683963,9Y,
9,eur 10Y,2.6750000010215853,10Y,
10,eur 11Y,2.687000001197895,11Y,
11,eur 12Y,2.7020000028629556,12Y,
12,eur 13Y,2.713642276799676,13Y,
13,eur 14Y,2.7234885585936555,14Y,
14,eur 15Y,2.7320000091588845,15Y,
15,eur 16Y,2.7224787069685856,16Y,
16,eur 17Y,2.714098897645977,17Y,
17,eur 18Y,2.7066545109787525,18Y,
18,eur 19Y,2.699970725790988,19Y,
19,eur 20Y,2.694000021248675,20Y,
20,eur 21Y,2.673613058378322,21Y,
21,eur 22Y,2.655036282528988,22Y,
22,eur 23Y,2.638042563512219,23Y,
23,eur 24Y,2.622325461813349,24Y,
24,eur 25Y,2.608000029750417,25Y,
25,eur 26Y,2.588534711510099,26Y,
26,eur 27Y,2.57041403507014,27Y,
27,eur 28Y,2.5535066292092394,28Y,
28,eur 29Y,2.5377793129464807,29Y,
29,eur 30Y,2.523000070267264,30Y,
30,eur 1Y1Y,2.7762028101001626,2.7725727576501833,1Y1Y
31,eur 1Y2Y,2.6487413516783413,2.64575342160714,1Y2Y
32,eur 1Y3Y,2.570171506084081,2.5676597290847916,1Y3Y
33,eur 1Y4Y,2.5324273667798525,2.530298370341136,1Y4Y
34,eur 1Y5Y,2.521917539501745,2.520098106049852,1Y5Y
35,eur 1Y6Y,2.525682436913158,2.5241090150153034,1Y6Y
36,eur 1Y7Y,2.537111724450537,2.535735728864236,1Y7Y
37,eur 1Y8Y,2.5565515988080656,2.5553394061042805,1Y8Y
38,eur 1Y9Y,2.5806819427829946,2.5796074849316875,1Y9Y
39,eur 1Y10Y,2.6023973783694943,2.6014332772576254,1Y10Y
40,eur 1Y11Y,2.625688484593758,2.6248272675049176,1Y11Y
41,eur 1Y12Y,2.6439436509510346,1.3216945990134692,1Y12Y
42,eur 1Y13Y,2.659197797804438,2.0805623009344325,1Y13Y
43,eur 1Y14Y,2.6722428726348215,2.6725386573654775,1Y14Y
44,eur 1Y15Y,2.66521757963322,3.1436067124097935,1Y15Y
45,eur 1Y16Y,2.6590834188438897,3.0011974260501746,1Y16Y
46,eur 1Y17Y,2.653673069367849,2.8715792233170117,1Y17Y
47,eur 1Y18Y,2.6488490666761533,2.7524809303159206,1Y18Y
48,eur 1Y19Y,2.6445607224997274,2.6441031122830028,1Y19Y
49,eur 1Y20Y,2.6247520678415146,2.5443046654618646,1Y20Y
50,eur 1Y21Y,2.6067862264617405,2.549171365972252,1Y21Y
