name,term,rate,rolled_rate,roll,date
eur 1Y1Y,1Y1Y,0.996001794,0.991316456,0.004685338,01/08/2022
eur 1Y2Y,1Y2Y,1.000277173,0.997217965,0.003059208,01/08/2022
eur 1Y3Y,1Y3Y,1.048468186,1.042472507,0.005995679,01/08/2022
eur 1Y4Y,1Y4Y,1.116260064,1.107995679,0.008264385,01/08/2022
eur 1Y5Y,1Y5Y,1.182690563,1.173868764,0.008821799,01/08/2022
eur 1Y6Y,1Y6Y,1.238092299,1.229752588,0.008339711,01/08/2022
eur 1Y7Y,1Y7Y,1.300136013,1.291036352,0.00909966,01/08/2022
eur 1Y8Y,1Y8Y,1.355776437,1.346987779,0.008788658,01/08/2022
eur 1Y9Y,1Y9Y,1.411807865,1.402888678,0.008919187,01/08/2022
eur 1Y10Y,1Y10Y,1.470430355,1.461136712,0.009293643,01/08/2022
eur 1Y11Y,1Y11Y,1.524835118,1.515788208,0.00904691,01/08/2022
eur 1Y12Y,1Y12Y,1.56056238,1.55301551,0.00754687,01/08/2022
eur 1Y13Y,1Y13Y,1.590800476,1.583783368,0.007017108,01/08/2022
eur 1Y14Y,1Y14Y,1.616725373,1.610160838,0.006564535,01/08/2022
eur 1Y15Y,1Y15Y,1.61155816,1.607712713,0.003845446,01/08/2022
eur 1Y16Y,1Y16Y,1.607025991,1.603389472,0.003636519,01/08/2022
eur 1Y17Y,1Y17Y,1.603001736,1.599550854,0.003450882,01/08/2022
eur 1Y18Y,1Y18Y,1.599428459,1.596142317,0.003286142,01/08/2022
eur 1Y19Y,1Y19Y,1.596227918,1.593089388,0.003138529,01/08/2022
eur 1Y20Y,1Y20Y,1.579985839,1.57811079,0.00187505,01/08/2022
eur 1Y21Y,1Y21Y,1.565359155,1.563563621,0.001795534,01/08/2022
eur 1Y22Y,1Y22Y,1.551983953,1.55026082,0.001723133,01/08/2022
eur 1Y23Y,1Y23Y,1.539738494,1.538081381,0.001657112,01/08/2022
eur 1Y24Y,1Y24Y,1.528486212,1.526889581,0.001596631,01/08/2022
eur 1Y25Y,1Y25Y,1.513628601,1.512460221,0.001168379,01/08/2022
eur 1Y26Y,1Y26Y,1.500020617,1.498894031,0.001126586,01/08/2022
eur 1Y27Y,1Y27Y,1.487382321,1.48629427,0.001088051,01/08/2022
eur 1Y28Y,1Y28Y,1.475583741,1.474531422,0.00105232,01/08/2022
eur 1Y29Y,1Y29Y,1.464544651,1.463525581,0.00101907,01/08/2022
eur 2Y1Y,2Y1Y,1.004608223,1.003196168,0.001412055,01/08/2022
eur 2Y2Y,2Y2Y,1.075123932,1.068460397,0.006663536,01/08/2022
eur 2Y3Y,2Y3Y,1.157324178,1.147831674,0.009492504,01/08/2022
eur 2Y4Y,2Y4Y,1.23083831,1.220939731,0.009898579,01/08/2022
eur 2Y5Y,2Y5Y,1.288404068,1.27929199,0.009112078,01/08/2022
eur 2Y6Y,2Y6Y,1.353209539,1.343323077,0.009886463,01/08/2022
eur 2Y7Y,2Y7Y,1.410018528,1.400591716,0.009426812,01/08/2022
eur 2Y8Y,2Y8Y,1.467079568,1.45757505,0.009504518,01/08/2022
eur 2Y9Y,2Y9Y,1.526991121,1.517122184,0.009868937,01/08/2022
eur 2Y10Y,2Y10Y,1.582086649,1.572538699,0.00954795,01/08/2022
eur 2Y11Y,2Y11Y,1.616630376,1.608769359,0.007861017,01/08/2022
eur 2Y12Y,2Y12Y,1.645434478,1.638172651,0.007261827,01/08/2022
eur 2Y13Y,2Y13Y,1.669821001,1.663064984,0.006756017,01/08/2022
eur 2Y14Y,2Y14Y,1.660898677,1.657092242,0.003806435,01/08/2022
eur 2Y15Y,2Y15Y,1.653145416,1.649561897,0.003583519,01/08/2022
eur 2Y16Y,2Y16Y,1.646315079,1.642927958,0.00338712,01/08/2022
eur 2Y17Y,2Y17Y,1.640294863,1.637080735,0.003214128,01/08/2022
eur 2Y18Y,2Y18Y,1.634937183,1.631877086,0.003060097,01/08/2022
eur 2Y19Y,2Y19Y,1.61594285,1.614221567,0.001721283,01/08/2022
eur 2Y20Y,2Y20Y,1.598926826,1.597284161,0.001642665,01/08/2022
eur 2Y21Y,2Y21Y,1.58343985,1.581868318,0.001571532,01/08/2022
eur 2Y22Y,2Y22Y,1.569321906,1.567814864,0.001507042,01/08/2022
eur 2Y23Y,2Y23Y,1.556400028,1.554951763,0.001448265,01/08/2022
eur 2Y24Y,2Y24Y,1.539810669,1.53880783,0.001002839,01/08/2022
eur 2Y25Y,2Y25Y,1.524667555,1.523703684,0.000963871,01/08/2022
eur 2Y26Y,2Y26Y,1.510646837,1.5097187,0.000928137,01/08/2022
eur 2Y27Y,2Y27Y,1.497595141,1.49669997,0.000895171,01/08/2022
eur 2Y28Y,2Y28Y,1.485416214,1.484551578,0.000864636,01/08/2022
eur 3Y1Y,3Y1Y,1.146070603,1.134116023,0.011954579,01/08/2022
eur 3Y2Y,3Y2Y,1.234975731,1.221360679,0.013615052,01/08/2022
eur 3Y3Y,3Y3Y,1.30810523,1.295289556,0.012815674,01/08/2022
eur 3Y4Y,3Y4Y,1.361651862,1.350531329,0.011120533,01/08/2022
eur 3Y5Y,3Y5Y,1.425758496,1.414083624,0.011674871,01/08/2022
eur 3Y6Y,3Y6Y,1.480905301,1.470049466,0.010855835,01/08/2022
eur 3Y7Y,3Y7Y,1.536929738,1.526172421,0.010757317,01/08/2022
eur 3Y8Y,3Y8Y,1.5966685,1.585637601,0.011030899,01/08/2022
eur 3Y9Y,3Y9Y,1.651185379,1.640627093,0.010558286,01/08/2022
eur 3Y10Y,3Y10Y,1.683152158,1.67455285,0.008599308,01/08/2022
eur 3Y11Y,3Y11Y,1.709333513,1.701451077,0.007882436,01/08/2022
eur 3Y12Y,3Y12Y,1.731171082,1.7238853,0.007285782,01/08/2022
eur 3Y13Y,3Y13Y,1.717290093,1.71324451,0.004045583,01/08/2022
eur 3Y14Y,3Y14Y,1.705357308,1.701568555,0.003788753,01/08/2022
eur 3Y15Y,3Y15Y,1.694941617,1.691376928,0.003564689,01/08/2022
eur 3Y16Y,3Y16Y,1.68583733,1.682468308,0.003369022,01/08/2022
eur 3Y17Y,3Y17Y,1.67779363,1.674597558,0.003196072,01/08/2022
eur 3Y18Y,3Y18Y,1.655504638,1.653741959,0.001762679,01/08/2022
eur 3Y19Y,3Y19Y,1.635653195,1.633977043,0.001676152,01/08/2022
eur 3Y20Y,3Y20Y,1.61767986,1.616081478,0.001598381,01/08/2022
eur 3Y21Y,3Y21Y,1.601373106,1.599844812,0.001528294,01/08/2022
eur 3Y22Y,3Y22Y,1.586512417,1.585047656,0.001464761,01/08/2022
eur 3Y23Y,3Y23Y,1.567938191,1.566943727,0.000994463,01/08/2022
eur 3Y24Y,3Y24Y,1.551045308,1.550092233,0.000953075,01/08/2022
eur 3Y25Y,3Y25Y,1.535456922,1.534541611,0.000915311,01/08/2022
eur 3Y26Y,3Y26Y,1.520990944,1.520110311,0.000880634,01/08/2022
eur 3Y27Y,3Y27Y,1.5075313,1.506682651,0.000848649,01/08/2022
eur 4Y1Y,4Y1Y,1.32620097,1.310556121,0.01564485,01/08/2022
eur 4Y2Y,4Y2Y,1.39177497,1.37834419,0.01343078,01/08/2022
eur 4Y3Y,4Y3Y,1.436514874,1.42538323,0.011131644,01/08/2022
eur 4Y4Y,4Y4Y,1.499455405,1.487648634,0.01180677,01/08/2022
eur 4Y5Y,4Y5Y,1.551901729,1.541069919,0.01083181,01/08/2022
eur 4Y6Y,4Y6Y,1.606172963,1.595528047,0.010644916,01/08/2022
eur 4Y7Y,4Y7Y,1.665890976,1.654912435,0.010978542,01/08/2022
eur 4Y8Y,4Y8Y,1.719560199,1.709235541,0.010324657,01/08/2022
eur 4Y9Y,4Y9Y,1.748352714,1.740123915,0.008228798,01/08/2022
eur 4Y10Y,4Y10Y,1.771485877,1.764017513,0.007468364,01/08/2022
eur 4Y11Y,4Y11Y,1.790221285,1.783368343,0.006852942,01/08/2022
eur 4Y12Y,4Y12Y,1.770585886,1.767245542,0.003340344,01/08/2022
eur 4Y13Y,4Y13Y,1.753926915,1.750819219,0.003107696,01/08/2022
eur 4Y14Y,4Y14Y,1.739583883,1.736676142,0.002907741,01/08/2022
eur 4Y15Y,4Y15Y,1.727105151,1.724371115,0.002734035,01/08/2022
eur 4Y16Y,4Y16Y,1.716114696,1.713672451,0.002442245,01/08/2022
eur 4Y17Y,4Y17Y,1.690527357,1.689447015,0.001080342,01/08/2022
eur 4Y18Y,4Y18Y,1.667578279,1.666558923,0.001019356,01/08/2022
eur 4Y19Y,4Y19Y,1.647038369,1.646072835,0.000965533,01/08/2022
eur 4Y20Y,4Y20Y,1.628502611,1.627585034,0.000917577,01/08/2022
eur 4Y21Y,4Y21Y,1.611545902,1.610730415,0.000815487,01/08/2022
eur 4Y22Y,4Y22Y,1.591192722,1.590792848,0.000399873,01/08/2022
eur 4Y23Y,4Y23Y,1.572500036,1.572122654,0.000377382,01/08/2022
