,name,term,rate,3m roll,DV01,notional
0,eur 1Y,1Y,3.356000000059694,-0.17493523984435555,5003.291178197135,51100000.0
1,eur 2Y,2Y,3.043000000123481,-0.13715547358778712,5007.216815438321,25900000.0
2,eur 3Y,3Y,2.883000000187546,-0.09961704963930895,5010.741478857454,17500000.0
3,eur 4Y,4Y,2.7930000002604465,-0.07800808724639463,4983.211217760164,13200000.0
4,eur 5Y,5Y,2.7470000003353645,-0.061366644118932445,4982.829524020794,10700000.0
5,eur 6Y,6Y,2.72800000041976,-0.048867430938173584,5021.414519567109,9100000.0
6,eur 7Y,7Y,2.7250000005166766,-0.03979125789894811,5021.42480261426,7900000.0
7,eur 8Y,8Y,2.7310000006127195,-0.033208739404678056,5021.458746905978,7000000.0
8,eur 9Y,9Y,2.7450000007311752,-0.027580782256527492,5021.001262751914,6300000.0
9,eur 10Y,10Y,2.762000000854809,-0.0236767209978348,4980.017764543201,5700000.0
10,eur 11Y,11Y,2.778000000994114,-0.021293154490562127,5025.232741932153,5300000.0
11,eur 12Y,12Y,2.795000002435927,-0.018886042442079365,5001.958395080127,4900000.0
12,eur 13Y,13Y,2.8077040644628553,-0.018070808671851513,5019.245193013532,4600000.0
13,eur 14Y,14Y,2.8185587286240894,-0.01701221504903705,4985.30718867395,4300000.0
14,eur 15Y,15Y,2.828000007834172,-0.016092180381319654,5026.4191884844395,4100000.0
15,eur 16Y,16Y,2.817276934129272,-0.020011435456024795,5032.027461783239,3900000.0
16,eur 17Y,17Y,2.8077910096186454,-0.019086060023424167,5006.4856081980415,3700000.0
17,eur 18Y,18Y,2.7993607019771196,-0.018263317626734832,4950.189098966199,3500000.0
18,eur 19Y,19Y,2.791821533158621,-0.017527269474096663,5011.638433342682,3400000.0
19,eur 20Y,20Y,2.785000018375695,-0.016860090721412924,5057.699658858498,3300000.0
20,eur 21Y,21Y,2.763230073673457,-0.020186196685808788,4926.660628779515,3100000.0
21,eur 22Y,22Y,2.743381307302765,-0.01953283846172882,4934.035834899473,3000000.0
22,eur 23Y,23Y,2.725169100956578,-0.018931591489167232,4927.420221252989,2900000.0
23,eur 24Y,24Y,2.708403303632069,-0.018376599195177867,5082.4132582237935,2900000.0
24,eur 25Y,25Y,2.6930000256267186,-0.0178658403406029,5053.277612033732,2800000.0
25,eur 26Y,26Y,2.672688493783259,-0.018884891158437167,5011.226909906666,2700000.0
26,eur 27Y,27Y,2.6539801546301836,-0.018421853478478134,4955.373187902026,2600000.0
27,eur 28Y,28Y,2.6365191553490632,-0.017988105606848492,5083.077611639058,2600000.0
28,eur 29Y,29Y,2.620229548491892,-0.017582109239327792,5008.099715727507,2500000.0
29,eur 30Y,30Y,2.6050000619238056,-0.017201431493183872,4921.3458827545355,2400000.0
30,eur 1Y1Y,1Y1Y,2.721816563964385,-0.09804157853090345,5003.083850333147,52600000.0
31,eur 1Y2Y,1Y2Y,2.6372024770921603,-0.06017351761974732,4993.745733158517,26600000.0
32,eur 1Y3Y,1Y3Y,2.595848754635737,-0.04380442754149394,5013.473195923301,18000000.0
33,eur 1Y4Y,1Y4Y,2.5848667654541435,-0.030911873921321664,4982.007277827335,13600000.0
34,eur 1Y5Y,1Y5Y,2.592530363712777,-0.021491795216980414,5018.38875610702,11100000.0
35,eur 1Y6Y,1Y6Y,2.6101013814628,-0.015034928847711182,4981.348333777606,9300000.0
36,eur 1Y7Y,1Y7Y,2.6322093125665833,-0.01068547413492027,4998.439978623308,8100000.0
37,eur 1Y8Y,1Y8Y,2.659423636582739,-0.00684363706201685,5014.804213525757,7200000.0
38,eur 1Y9Y,1Y9Y,2.687030394955394,-0.004505371842340011,5024.574566512862,6500000.0
39,eur 1Y10Y,1Y10Y,2.7114392141536956,-0.0035330712064620684,4999.0802164364195,5900000.0
40,eur 1Y11Y,1Y11Y,2.735482466807767,-0.002274526440903646,4966.885576436258,5400000.0
41,eur 1Y12Y,1Y12Y,2.7536527050292903,-0.002559082959443515,5048.794482263196,5100000.0
42,eur 1Y13Y,1Y13Y,2.7689834252811822,-0.0024031619161806184,4972.7332410961235,4700000.0
43,eur 1Y14Y,1Y14Y,2.7821707628407197,-0.002268126216659727,4947.5650466983725,4400000.0
44,eur 1Y15Y,1Y15Y,2.7730403501593934,-0.007253651477142853,4991.518477497927,4200000.0
45,eur 1Y16Y,1Y16Y,2.7650297280159477,-0.006893407496475934,5004.010015288214,4000000.0
46,eur 1Y17Y,1Y17Y,2.7579614701959936,-0.006575280248625859,4985.395207795796,3800000.0
47,eur 1Y18Y,1Y18Y,2.7516805538511515,-0.006292383342068497,4936.783853940692,3600000.0
48,eur 1Y19Y,1Y19Y,2.746032525977289,-0.006037370944119935,5003.8301632953135,3500000.0
49,eur 1Y20Y,1Y20Y,2.72431478795627,-0.0099898231304123,5051.883445293326,3400000.0
50,eur 1Y21Y,1Y21Y,2.704605354482786,-0.009657476122951536,4930.746842122216,3200000.0
51,eur 1Y22Y,1Y22Y,2.686597611226974,-0.009352098718650836,4944.097011351943,3100000.0
52,eur 1Y23Y,1Y23Y,2.6700844919546034,-0.009070614749636441,4943.695376427501,3000000.0
53,eur 1Y24Y,1Y24Y,2.654967246493454,-0.00881203772200223,4929.0480200919665,2900000.0
54,eur 1Y25Y,1Y25Y,2.6346356879367243,-0.01014901327555684,5076.339629621599,2900000.0
55,eur 1Y26Y,1Y26Y,2.615965598742434,-0.009899113399529647,5039.705908601459,2800000.0
56,eur 1Y27Y,1Y27Y,2.598589408690186,-0.009664956876542785,4991.071747927996,2700000.0
57,eur 1Y28Y,1Y28Y,2.5824214335530065,-0.009445735688802248,4930.359885515804,2600000.0
58,eur 1Y29Y,1Y29Y,2.5673426393563794,-0.009240184168463728,5052.201403400381,2600000.0
59,eur 2Y1Y,2Y1Y,2.5503885700793743,-0.021294385368926694,4997.1224697306225,54000000.0
60,eur 2Y2Y,2Y2Y,2.5305918777856053,-0.01568308232804627,5002.268456751043,27300000.0
61,eur 2Y3Y,2Y3Y,2.5368878685567724,-0.007376426921982038,5012.632368651593,18500000.0
62,eur 2Y4Y,2Y4Y,2.5581176101981256,-0.0011058174708580282,4993.6828672880365,14000000.0
63,eur 2Y5Y,2Y5Y,2.586000846709541,0.0028772884014607314,5018.322997514285,11400000.0
64,eur 2Y6Y,2Y6Y,2.6158930995197966,0.005222291087476627,5008.197874479207,9600000.0
65,eur 2Y7Y,2Y7Y,2.6495614711926976,0.007570691512115868,4989.597487091057,8300000.0
66,eur 2Y8Y,2Y8Y,2.682151798812395,0.008610521418125572,5015.373386927839,7400000.0
67,eur 2Y9Y,2Y9Y,2.710127424003248,0.008411179495051435,4964.11756530372,6600000.0
68,eur 2Y10Y,2Y10Y,2.73705828976414,0.008766036158114332,5030.949390534133,6100000.0
69,eur 2Y11Y,2Y11Y,2.7570362182755304,0.0075866620812501395,5012.087410404451,5600000.0
70,eur 2Y12Y,2Y12Y,2.773642182253713,0.00704158083027373,5008.570963226248,5200000.0
71,eur 2Y13Y,2Y13Y,2.78774762694179,0.006580326013121418,5045.563534165915,4900000.0
72,eur 2Y14Y,2Y14Y,2.7774958994528705,0.0006420599639485047,5030.933360686593,4600000.0
73,eur 2Y15Y,2Y15Y,2.7685847853633394,0.0006038662340159817,4971.62256334363,4300000.0
74,eur 2Y16Y,2Y16Y,2.760785912877559,0.0005707589400500979,4990.1085581255165,4100000.0
75,eur 2Y17Y,2Y17Y,2.753905491567587,0.0005417980622555163,4978.145261353146,3900000.0
76,eur 2Y18Y,2Y18Y,2.747757758059296,0.0005160006056716959,4938.573975005424,3700000.0
